source,target,value
India,Afghanistan,418.0
Kazakhstan,Afghanistan,64.0
Kyrgyzstan,Afghanistan,2.0
Netherlands,Afghanistan,42.0
Pakistan,Afghanistan,133836.0
Turkey,Afghanistan,50.0
United Arab Emirates,Afghanistan,40.0
Algeria,Albania,6912.0
Argentina,Albania,5715.0
Austria,Albania,17409.0
Belgium,Albania,2682.0
Bosnia and Herzegovina,Albania,2596.0
Brazil,Albania,40626.0
Bulgaria,Albania,14127.0
Cameroon,Albania,164.0
Canada,Albania,647.0
Chile,Albania,17.0
"China, mainland",Albania,1346.0
Colombia,Albania,2409.0
Costa Rica,Albania,94.0
Croatia,Albania,3474.0
Cuba,Albania,26.0
Cyprus,Albania,26.0
Czechia,Albania,367.0
Côte d'Ivoire,Albania,175.0
Denmark,Albania,354.0
Dominican Republic,Albania,70.0
Ecuador,Albania,13020.0
Egypt,Albania,234.0
Estonia,Albania,33.0
Ethiopia,Albania,91.0
France,Albania,5063.0
Germany,Albania,32243.0
Greece,Albania,103002.0
Guatemala,Albania,68.0
Honduras,Albania,94.0
Hungary,Albania,10522.0
India,Albania,6201.0
Indonesia,Albania,1035.0
Iran (Islamic Republic of),Albania,193.0
Ireland,Albania,140.0
Italy,Albania,122503.0
Kazakhstan,Albania,12.0
Kenya,Albania,144.0
Lithuania,Albania,1499.0
Malaysia,Albania,827.0
Mexico,Albania,2713.0
Montenegro,Albania,402.0
Morocco,Albania,2.0
Netherlands,Albania,10090.0
North Macedonia,Albania,17626.0
Pakistan,Albania,1303.0
Paraguay,Albania,319.0
Poland,Albania,32264.0
Romania,Albania,5898.0
Russian Federation,Albania,26991.0
Serbia,Albania,68276.0
Slovenia,Albania,260.0
South Africa,Albania,164.0
Spain,Albania,4807.0
Sri Lanka,Albania,64.0
Switzerland,Albania,210.0
Thailand,Albania,358.0
Tunisia,Albania,44.0
Turkey,Albania,30409.0
Uganda,Albania,240.0
Ukraine,Albania,5432.0
United Kingdom,Albania,3975.0
United States of America,Albania,8217.0
Viet Nam,Albania,2388.0
Afghanistan,Algeria,28.0
Albania,Algeria,307.0
Antigua and Barbuda,Algeria,22.0
Argentina,Algeria,1321972.0
Australia,Algeria,6270.0
Austria,Algeria,14020.0
Azerbaijan,Algeria,120.0
Bahamas,Algeria,20.0
Belgium,Algeria,74220.0
Benin,Algeria,4.0
Brazil,Algeria,1102820.0
Bulgaria,Algeria,10799.0
Burkina Faso,Algeria,155.0
Burundi,Algeria,79.0
Cambodia,Algeria,71.0
Cameroon,Algeria,8483.0
Canada,Algeria,426933.0
Chile,Algeria,3570.0
"China, Taiwan Province of",Algeria,10.0
"China, mainland",Algeria,129269.0
Colombia,Algeria,5576.0
Comoros,Algeria,199.0
Costa Rica,Algeria,33.0
Croatia,Algeria,5864.0
Czechia,Algeria,21921.0
Côte d'Ivoire,Algeria,119077.0
Denmark,Algeria,17743.0
Ecuador,Algeria,138010.0
Egypt,Algeria,111609.0
El Salvador,Algeria,77.0
Estonia,Algeria,5102.0
Ethiopia,Algeria,1068.0
Finland,Algeria,10753.0
France,Algeria,1352745.0
Georgia,Algeria,297.0
Germany,Algeria,253923.0
Ghana,Algeria,844.0
Greece,Algeria,14937.0
Guatemala,Algeria,3.0
Guinea,Algeria,352.0
Haiti,Algeria,6875.0
Hungary,Algeria,5210.0
India,Algeria,218884.0
Indonesia,Algeria,71654.0
Iran (Islamic Republic of),Algeria,16733.0
Iraq,Algeria,133.0
Ireland,Algeria,62702.0
Italy,Algeria,85249.0
Japan,Algeria,11.0
Jordan,Algeria,3955.0
Kazakhstan,Algeria,1320.0
Kenya,Algeria,132.0
Kyrgyzstan,Algeria,736.0
Latvia,Algeria,51282.0
Lebanon,Algeria,5526.0
Lithuania,Algeria,36032.0
Madagascar,Algeria,194.0
Malawi,Algeria,1306.0
Malaysia,Algeria,17240.0
Malta,Algeria,269.0
Mexico,Algeria,208818.0
Morocco,Algeria,89330.0
Myanmar,Algeria,21.0
Netherlands,Algeria,175781.0
New Zealand,Algeria,365202.0
Niger,Algeria,5.0
Nigeria,Algeria,564.0
North Macedonia,Algeria,414.0
Norway,Algeria,14.0
Oman,Algeria,765.0
Pakistan,Algeria,7332.0
Paraguay,Algeria,28149.0
Peru,Algeria,7.0
Philippines,Algeria,1076.0
Poland,Algeria,233301.0
Portugal,Algeria,47787.0
